,,,Substation_1,Substation_2,,Maximum Current Imax (A),,,,,,,Dynamic line rating (DLR),,Electrical Parameters,,,,
NE_name,EIC_Code,TSO,Full_name,Full_name,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment
Charlottenburg - Mitte 906,11TD8L906------T,50HERTZ,Charlottenburg,Mitte,400,,,,,,,1155,,,0.12,1.23,475.07,5.42,
Teufelsbruch - Reuter 907,11TD8L907------L,50HERTZ,Teufelsbruch,Reuter,400,,,,,,,1620,,,0.15,1.69,690.21,7.55,
Teufelsbruch - Reuter 908,11TD8L908------D,50HERTZ,Teufelsbruch,Reuter,400,,,,,,,1620,,,0.15,1.69,690.21,7.55,
Friedrichshain - Mitte 919,11TD8L919------X,50HERTZ,Friedrichshain,Mitte,400,,,,,,,,1850,1950,0.13,1.51,368.32,6.55,
Friedrichshain - Mitte 920,11TD8L920------M,50HERTZ,Friedrichshain,Mitte,400,,,,,,,,1850,1950,0.13,1.52,376.55,6.55,
Friedrichshain - Marzahn 921,11TD8L921------E,50HERTZ,Friedrichshain,Marzahn,400,,,,,,,,1850,1950,0.11,1.23,300.84,5.38,
Friedrichshain - Marzahn 922,11TD8L922------6,50HERTZ,Friedrichshain,Marzahn,400,,,,,,,,1850,1950,0.11,1.21,321.01,5.35,
Hamburg/Nord - Brunsbuettel 951,11TD8L951------O,50HERTZ,Hamburg/Nord,Brunsbuettel,400,,,,,,,3600,,,1.07,13.95,283.94,57.10,
Hamburg/Nord - Brunsbuettel 952,11TD8L952------G,50HERTZ,Hamburg/Nord,Brunsbuettel,400,,,,,,,3600,,,1.07,13.95,283.94,57.10,
Hamburg/Ost - Hamburg/Nord 961,11TD8L961------F,50HERTZ,Hamburg/Ost,Hamburg/Nord,400,,,,,,,,2580,3300,1.05,7.88,139.20,31.00,
Hamburg/Ost - Hamburg/Nord 962,11TD8L962------7,50HERTZ,Hamburg/Ost,Hamburg/Nord,400,,,,,,,,2580,3300,1.05,7.88,139.20,31.00,
Hamburg/Sued - Hamburg/Ost 971,11TD8L971------6,50HERTZ,Hamburg/Sued,Hamburg/Ost,400,,,,,,,2580,,,0.99,7.44,131.98,29.43,
Hamburg/Sued - Hamburg/Ost 972,11TD8L971------6,50HERTZ,Hamburg/Sued,Hamburg/Ost,400,,,,,,,2580,,,0.99,7.44,131.98,29.43,
Hamburg/Ost - Kruemmel 991,11T0-0000-0084-L,50HERTZ,Hamburg/Ost,Kruemmel,400,,,,,,,3680,,,0.59,6.78,141.72,28.39,
Hamburg/Ost - Kruemmel 992,11TD8L992------H,50HERTZ,Hamburg/Ost,Kruemmel,400,,,,,,,3680,,,0.59,6.78,141.72,28.39,
Y-Leupolz (-Bidingen - Oberottmarshausen) ALLG O,11T0-0000-0698-C,AMPRION GMBH,Leupolz,Y-Bidngen,400,,,,,,,2720,,-,0.83,7.71,133.70,31.00,
Y-Oberottmarshausen (-Bidingen - Leupolz) ALLG O,11T0-0000-0769-G,AMPRION GMBH,Oberottmarshausen,Y-Bidngen,400,,,,,,,2720,,-,1.37,12.68,220.90,51.00,
Y-Amelsbueren (-Hanekenfaehr - Westerkappeln) AMELSB,11T0-0000-0125-0,AMPRION GMBH,Amelsbueren,Y-Hanekenfaehr,220,,,,,,,,1290,1773,2.31,12.35,161.70,43.00,
Y-Hanekenfaehr (-Amelsbueren - Westerkappeln) AMELSB,11T0-0000-0306-W,AMPRION GMBH,Hanekenfaehr,Y-Hanekenfaehr,220,,,,,,,1274,,-,2.02,10.37,202.00,44.00,
Y-Westerkappeln (-Amelsbueren - Hanekenfaehr) AMELSB,11T0-0000-0546-6,AMPRION GMBH,Westerkappeln,Y-Hanekenfaehr,220,,,,,,,,841,1031,3.43,16.84,114.50,42.00,
Arpe - Uentrop ARPE W,11T0-0000-0549-Y,AMPRION GMBH,Arpe,Uentrop,400,,,,,,,2257,,-,1.99,17.08,294.70,68.00,
Meitingen - Oberottmarshausen AUGSBU O,11T0-0000-0724-A,AMPRION GMBH,Meitingen,Oberottmarshausen,400,,,,,,,2720,,-,1.41,13.26,221.60,52.00,
Lechhausen - Oberottmarshausen AUGSBU W,11T0-0000-0694-O,AMPRION GMBH,Lechhausen,Oberottmarshausen,400,,,,,,,2720,,-,0.96,9.01,152.00,35.00,
St. Barbara - Uchtelfangen BABARA,11T0-0000-0506-M,AMPRION GMBH,St. Barbara,Uchtelfangen,220,,,,,,,,-,1290,1.12,5.90,77.30,20.00,
Benteler - Hanekenfaehr BENTLR,11T0-0000-0307-T,AMPRION GMBH,Benteler,Hanekenfaehr,220,,,,,,,1282,,-,0.07,0.37,4.60,1.00,
Meckenheim - Sechtem BGEIST W,11T0-0000-0843-0,AMPRION GMBH,Meckenheim,Sechtem,400,,,,,,,,-,2720,0.57,5.51,98.70,22.00,
Maximiliansau - Mutterstadt BIENWD W,11T0-0000-0376-4,AMPRION GMBH,Maximiliansau,Mutterstadt,220,,,,,,,,-,2000,2.63,14.22,185.80,49.00,
Y-Altenkleusheim (-Bixterheide - Opladen) BIGGE O,11T0-0000-0120-F,AMPRION GMBH,Altenkleusheim,Y-Bixterheide,220,,,,,,,,-,740,4.92,21.16,144.30,53.00,
Y-Bixterheide (-Altenkleusheim - Opladen) BIGGE O,11T0-0000-0175-H,AMPRION GMBH,Bixterheide,Y-Bixterheide,220,,,,,,,,-,1392,0.67,3.72,43.60,12.00,
Y-Opladen (-Altenkleusheim - Bixterheide) BIGGE O,11T0-0000-0419-E,AMPRION GMBH,Opladen,Y-Bixterheide,220,,,,,,,,-,1392,3.14,17.05,218.10,58.00,
Y-Altenkleusheim (-Garenfeld - Opladen) BIGGE W,11T0-0000-0114-7,AMPRION GMBH,Altenkleusheim,Y-Garenfeld,220,,,,,,,,-,741,4.87,21.14,191.60,61.00,
Y-Garenfeld (-Altenkleusheim - Opladen) BIGGE W,11T0-0000-0274-F,AMPRION GMBH,Garenfeld,Y-Garenfeld,220,,,,,,,,-,1392,0.72,4.04,27.40,10.00,
Y-Opladen (-Altenkleusheim - Garenfeld) BIGGE W,11T0-0000-0420-0,AMPRION GMBH,Opladen,Y-Garenfeld,220,,,,,,,,-,1392,3.14,17.05,218.10,58.00,
Bixterheide - Garenfeld BIXTRH N,11T0-0000-0272-L,AMPRION GMBH,Bixterheide,Garenfeld,220,,,,,,,,-,1392,1.38,7.71,70.60,22.00,
Mittelbexbach - Uchtelfangen BLIES N,11T0-0000-0740-E,AMPRION GMBH,Mittelbexbach,Uchtelfangen,400,,,,,,,,-,3150,0.60,5.09,88.80,20.00,
Mittelbexbach - Uchtelfangen BLIES S,11T0-0000-0741-B,AMPRION GMBH,Mittelbexbach,Uchtelfangen,400,,,,,,,,-,3150,0.60,5.11,88.60,20.00,
Y-Y (-Buers - Herbertingen - Tiengen - Werben) BLUDNZ W,11T0-0000-1620-L,AMPRION GMBH,Y-Werben,Y-Tiengen,220,,,,,,,1020,,-,3.53,33.40,253.90,88.00,
Y-Herbertingen (-Buers - Tiengen - Werben) BLUDNZ W,11T0-0000-1880-O,AMPRION GMBH,Herbertingen,Y-Tiengen,220,,,,,,,1200,,-,0.01,0.11,0.80,0.00,
Y-Tiengen (-Buers - Herbertingen - Werben) BLUDNZ W,11T0-0000-0962-R,AMPRION GMBH,Tiengen,Y-Tiengen,220,,,,,,,896,,-,7.51,47.60,299.70,114.00,
Bochum - Eiberg BOCHUM W,11T0-0000-0176-E,AMPRION GMBH,Bochum,Eiberg,220,,,,,,,,-,2000,0.74,3.88,47.00,13.00,
Bocklemuend - Brauweiler BOCKLE N,11T0-0000-0194-C,AMPRION GMBH,Bocklemuend,Brauweiler,220,,,,,,,718,,-,0.27,1.42,17.20,5.00,
